,Nivel de formación alcanzado,Tareas,Tiempo dedicado a trabajar en determinadas tareas,Tipo de dato,Total
173,Educación secundaria segunda etapa,Interactuar con personas de la misma empresa u organización,Menos de la mitad,Porcentajes,"48,91"
174,Educación secundaria segunda etapa,Interactuar con personas de la misma empresa u organización,No sabe/ No contesta,Valores absolutos,"144,1"
175,Educación secundaria segunda etapa,Interactuar con personas de la misma empresa u organización,No sabe/ No contesta,Porcentajes,"2,91"
176,Educación secundaria segunda etapa,Interactuar con personas externas a la empresa u organización,Total,Valores absolutos,"4.959,8"
177,Educación secundaria segunda etapa,Interactuar con personas externas a la empresa u organización,Total,Porcentajes,"100,00"
178,Educación secundaria segunda etapa,Interactuar con personas externas a la empresa u organización,La mitad o más,Valores absolutos,"2.229,1"
179,Educación secundaria segunda etapa,Interactuar con personas externas a la empresa u organización,La mitad o más,Porcentajes,"44,94"
180,Educación secundaria segunda etapa,Interactuar con personas externas a la empresa u organización,Menos de la mitad,Valores absolutos,"2.600,5"
181,Educación secundaria segunda etapa,Interactuar con personas externas a la empresa u organización,Menos de la mitad,Porcentajes,"52,43"
182,Educación secundaria segunda etapa,Interactuar con personas externas a la empresa u organización,No sabe/ No contesta,Valores absolutos,"130,2"
183,Educación secundaria segunda etapa,Interactuar con personas externas a la empresa u organización,No sabe/ No contesta,Porcentajes,"2,62"
184,Educación secundaria segunda etapa,"Asesorar, formar o enseñar a otras personas",Total,Valores absolutos,"4.959,8"
185,Educación secundaria segunda etapa,"Asesorar, formar o enseñar a otras personas",Total,Porcentajes,"100,00"
186,Educación secundaria segunda etapa,"Asesorar, formar o enseñar a otras personas",La mitad o más,Valores absolutos,"515,7"
187,Educación secundaria segunda etapa,"Asesorar, formar o enseñar a otras personas",La mitad o más,Porcentajes,"10,40"
188,Educación secundaria segunda etapa,"Asesorar, formar o enseñar a otras personas",Menos de la mitad,Valores absolutos,"4.280,5"
189,Educación secundaria segunda etapa,"Asesorar, formar o enseñar a otras personas",Menos de la mitad,Porcentajes,"86,31"
190,Educación secundaria segunda etapa,"Asesorar, formar o enseñar a otras personas",No sabe/ No contesta,Valores absolutos,"163,6"
191,Educación secundaria segunda etapa,"Asesorar, formar o enseñar a otras personas",No sabe/ No contesta,Porcentajes,"3,30"
192,Educación superior,Trabajar con dispositivos digitales,Total,Valores absolutos,"9.358,4"
193,Educación superior,Trabajar con dispositivos digitales,Total,Porcentajes,"100,00"
194,Educación superior,Trabajar con dispositivos digitales,La mitad o más,Valores absolutos,"5.939,7"
195,Educación superior,Trabajar con dispositivos digitales,La mitad o más,Porcentajes,"63,47"
196,Educación superior,Trabajar con dispositivos digitales,Menos de la mitad,Valores absolutos,"3.298,3"
197,Educación superior,Trabajar con dispositivos digitales,Menos de la mitad,Porcentajes,"35,24"
198,Educación superior,Trabajar con dispositivos digitales,No sabe/ No contesta,Valores absolutos,"120,4"
199,Educación superior,Trabajar con dispositivos digitales,No sabe/ No contesta,Porcentajes,"1,29"
200,Educación superior,Leer manuales y documentos técnicos relacionados con el trabajo,Total,Valores absolutos,"9.358,4"
201,Educación superior,Leer manuales y documentos técnicos relacionados con el trabajo,Total,Porcentajes,"100,00"
202,Educación superior,Leer manuales y documentos técnicos relacionados con el trabajo,La mitad o más,Valores absolutos,"1.808,3"
203,Educación superior,Leer manuales y documentos técnicos relacionados con el trabajo,La mitad o más,Porcentajes,"19,32"
204,Educación superior,Leer manuales y documentos técnicos relacionados con el trabajo,Menos de la mitad,Valores absolutos,"7.088,5"
205,Educación superior,Leer manuales y documentos técnicos relacionados con el trabajo,Menos de la mitad,Porcentajes,"75,74"
206,Educación superior,Leer manuales y documentos técnicos relacionados con el trabajo,No sabe/ No contesta,Valores absolutos,"461,6"
207,Educación superior,Leer manuales y documentos técnicos relacionados con el trabajo,No sabe/ No contesta,Porcentajes,"4,93"
208,Educación superior,Realizar cálculos relativamente complejos,Total,Valores absolutos,"9.358,4"
209,Educación superior,Realizar cálculos relativamente complejos,Total,Porcentajes,"100,00"
210,Educación superior,Realizar cálculos relativamente complejos,La mitad o más,Valores absolutos,"1.433,0"
211,Educación superior,Realizar cálculos relativamente complejos,La mitad o más,Porcentajes,"15,31"
212,Educación superior,Realizar cálculos relativamente complejos,Menos de la mitad,Valores absolutos,"7.606,5"
213,Educación superior,Realizar cálculos relativamente complejos,Menos de la mitad,Porcentajes,"81,28"
214,Educación superior,Realizar cálculos relativamente complejos,No sabe/ No contesta,Valores absolutos,"318,9"
215,Educación superior,Realizar cálculos relativamente complejos,No sabe/ No contesta,Porcentajes,"3,41"
216,Educación superior,Realizar esfuerzos físicos,Total,Valores absolutos,"9.358,4"
217,Educación superior,Realizar esfuerzos físicos,Total,Porcentajes,"100,00"
218,Educación superior,Realizar esfuerzos físicos,La mitad o más,Valores absolutos,"1.157,0"
219,Educación superior,Realizar esfuerzos físicos,La mitad o más,Porcentajes,"12,36"
